iter	Passed	Remaining
264	1253	3477
265	1255	3465
266	1257	3452
267	1259	3439
268	1267	3444
269	1269	3432
270	1271	3420
271	1273	3407
272	1280	3411
273	1283	3400
274	1285	3389
275	1287	3377
276	1289	3366
277	1301	3380
278	1303	3367
279	1305	3355
280	1312	3359
281	1314	3348
282	1316	3336
283	1318	3323
284	1320	3311
285	1321	3299
286	1328	3299
287	1329	3288
288	1334	3284
289	1341	3285
290	1343	3272
291	1344	3260
292	1346	3248
293	1347	3236
294	1349	3224
295	1350	3212
296	1352	3200
297	1355	3194
298	1357	3182
299	1359	3171
300	1360	3159
301	1362	3148
302	1363	3136
303	1365	3125
304	1366	3113
305	1367	3101
306	1373	3101
307	1375	3089
308	1376	3078
309	1377	3066
310	1379	3055
311	1381	3047
312	1392	3057
313	1394	3046
314	1395	3034
315	1396	3023
316	1398	3012
317	1400	3003
318	1402	2994
319	1404	2984
320	1406	2975
321	1407	2964
322	1409	2953
323	1411	2945
324	1413	2934
325	1414	2924
326	1415	2913
327	1417	2903
328	1418	2892
329	1419	2882
330	1420	2871
331	1422	2862
332	1424	2852
333	1441	2874
334	1447	2872
335	1449	2864
336	1453	2858
337	1454	2848
338	1455	2838
339	1460	2834
340	1463	2829
341	1468	2826
342	1470	2815
343	1471	2806
344	1475	2801
345	1477	2791
346	1479	2784
347	1487	2787
348	1489	2779
349	1491	2769
350	1492	2759
351	1494	2750
352	1495	2741
353	1503	2744
354	1505	2734
355	1506	2725
356	1508	2717
357	1510	2708
358	1512	2701
359	1517	2697
360	1518	2687
361	1519	2678
362	1521	2670
363	1523	2661
364	1524	2652
365	1526	2643
366	1532	2642
367	1533	2633
368	1535	2625
369	1536	2616
370	1538	2608
371	1540	2599
372	1541	2591
373	1548	2592
374	1550	2583
375	1551	2575
376	1553	2567
377	1554	2558
378	1556	2549
379	1559	2544
380	1561	2536
381	1562	2528
382	1564	2520
383	1565	2511
384	1567	2503
385	1568	2494
386	1569	2486
387	1570	2477
388	1572	2469
389	1574	2462
390	1575	2454
391	1577	2446
392	1578	2438
393	1580	2431
394	1582	2424
395	1584	2416
396	1585	2408
397	1594	2412
398	1595	2403
399	1597	2396
400	1598	2388
401	1600	2380
402	1601	2372
403	1614	2381
404	1616	2374
405	1617	2367
406	1625	2368
407	1626	2360
408	1628	2352
409	1629	2344
410	1630	2337
411	1632	2329
412	1633	2321
413	1635	2315
414	1636	2307
415	1638	2299
416	1639	2292
417	1641	2285
418	1642	2278
419	1644	2270
